movieId,title,genres,title_clean,genres_text,tags_text,profile_text
11,"American President, The (1995)",Comedy|Drama|Romance,"american president, the (1995)",comedy drama romance,23.03.06 aaron sorkin amazing kung fu annette bening bibliothek clv cute decent flick drama dvd collection ethics girlie movie great cast great performances great story michael douglas morals new love no_fa_ganes politics president rob reiner romance screenwriter:aaron sorkin seen seen more than once single parents us president usa president white house widower wildlife conservation,"american president, the (1995) comedy drama romance 23.03.06 aaron sorkin amazing kung fu annette bening bibliothek clv cute decent flick drama dvd collection ethics girlie movie great cast great performances great story michael douglas morals new love no_fa_ganes politics president rob reiner romance screenwriter:aaron sorkin seen seen more than once single parents us president usa president white house widower wildlife conservation"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,dracula: dead and loving it (1995),comedy horror,bd-r dracula farce funny gothic leslie nielsen mel brooks parody spoof vampire vampires,dracula: dead and loving it (1995) comedy horror bd-r dracula farce funny gothic leslie nielsen mel brooks parody spoof vampire vampires
13,Balto (1995),Adventure|Animation|Children,balto (1995),adventure animation children,alaska animated animation bear attack dog dog sled dog-sledding race dogs dogsled ei muista frozen lake goose itaege james horner pet simon wells sled dogs sort of boring talking animals wolf wolves,balto (1995) adventure animation children alaska animated animation bear attack dog dog sled dog-sledding race dogs dogsled ei muista frozen lake goose itaege james horner pet simon wells sled dogs sort of boring talking animals wolf wolves
14,Nixon (1995),Drama,nixon (1995),drama,anthony hopkins based on a true story biographical biography biopic character based on real person:richard nixon cinematographer:robert richardson clv corruption drama government historical figure historical opinion long oliver stone own political drama politics president presidential election true story tumey's vhs us president usa president watergate watergate scandal,nixon (1995) drama anthony hopkins based on a true story biographical biography biopic character based on real person:richard nixon cinematographer:robert richardson clv corruption drama government historical figure historical opinion long oliver stone own political drama politics president presidential election true story tumey's vhs us president usa president watergate watergate scandal
15,Cutthroat Island (1995),Action|Adventure|Romance,cutthroat island (1995),action adventure romance,action adventure bad acting better than i remembered big budget clv exotic island frank langella geena davis humor map pirate pirates scalp sexuality ship sword fight treasure treasure hunt,cutthroat island (1995) action adventure romance action adventure bad acting better than i remembered big budget clv exotic island frank langella geena davis humor map pirate pirates scalp sexuality ship sword fight treasure treasure hunt
16,Casino (1995),Crime|Drama,casino (1995),crime drama,1970s 1980s 20060407 based on a book bd-video bibliothek cannibalism casino character development cinematographer:robert richardson clv complex corruption cult film de niro in pink deniro divx1 documentary like drug abuse etaege excellent cast gamble gambling gangster gangsters goodfellas ii great ensemble cast great performances hysterical wife illegal prostitution imdb top 250 indulgent joe pesci las vegas long long movie mafia martin scorsese masterpiece memasa's movies mob muddled motivations na dysku narrated need to own no_fa_ganes non-fiction nudity nudity (rear) nudity (topless - brief) organized crime overdose pesci plot poker rewatch robert de niro robert deniro scorcese sharon stone slow soundtrack stylish suspense tumey's dvds vegas violence violent watch,casino (1995) crime drama 1970s 1980s 20060407 based on a book bd-video bibliothek cannibalism casino character development cinematographer:robert richardson clv complex corruption cult film de niro in pink deniro divx1 documentary like drug abuse etaege excellent cast gamble gambling gangster gangsters goodfellas ii great ensemble cast great performances hysterical wife illegal prostitution imdb top 250 indulgent joe pesci las vegas long long movie mafia martin scorsese masterpiece memasa's movies mob muddled motivations na dysku narrated need to own no_fa_ganes non-fiction nudity nudity (rear) nudity (topless - brief) organized crime overdose pesci plot poker rewatch robert de niro robert deniro scorcese sharon stone slow soundtrack stylish suspense tumey's dvds vegas violence violent watch
17,Sense and Sensibility (1995),Drama|Romance,sense and sensibility (1995),drama romance,18th century 19th century adapted from:book alan rickman ang lee author:jane austen based on a book based on novel or book bd-r bgab lrc bibliothek boring bowling britain british chick flick classic classic literature clv costume drama country life courtship decorum devon dvd emma thompson emotional english fast great adaptations great screenplays heartbreak heartwarming historical horse and carriage hugh grant hugh laurie hulu imogen stubbs inheritance jane austen kate winslet literature london military officer mine na dysku netflix finland nothing happens oscar nominee: best picture oscar nominee: best picture 1995 patriarchy period period drama period film period piece rainstorm regency england romance romantic rural rural setting seen 2012 seen a while ago servant shakespeare sven's to see list trials and tribulations true love story upper class very well adapted,sense and sensibility (1995) drama romance 18th century 19th century adapted from:book alan rickman ang lee author:jane austen based on a book based on novel or book bd-r bgab lrc bibliothek boring bowling britain british chick flick classic classic literature clv costume drama country life courtship decorum devon dvd emma thompson emotional english fast great adaptations great screenplays heartbreak heartwarming historical horse and carriage hugh grant hugh laurie hulu imogen stubbs inheritance jane austen kate winslet literature london military officer mine na dysku netflix finland nothing happens oscar nominee: best picture oscar nominee: best picture 1995 patriarchy period period drama period film period piece rainstorm regency england romance romantic rural rural setting seen 2012 seen a while ago servant shakespeare sven's to see list trials and tribulations true love story upper class very well adapted
18,Four Rooms (1995),Comedy,four rooms (1995),comedy,4 alexandre rockwell allison anders anthology antonio banderas awesome soundtrack bet blasphemous bruce willis combustible edison music comedy dark comedy fast paced foul language gross hoodlum hotel hotel room jennifer beals los angeles madonna multiple short stories in one multiple storylines murder new year new year's eve night nudity (topless) own quentin tarantino robert rodriguez rodriguez role play salma hayek sperm tarantino tim roth tumey's vhs vomiting witch witchcraft witches woman director,four rooms (1995) comedy 4 alexandre rockwell allison anders anthology antonio banderas awesome soundtrack bet blasphemous bruce willis combustible edison music comedy dark comedy fast paced foul language gross hoodlum hotel hotel room jennifer beals los angeles madonna multiple short stories in one multiple storylines murder new year new year's eve night nudity (topless) own quentin tarantino robert rodriguez rodriguez role play salma hayek sperm tarantino tim roth tumey's vhs vomiting witch witchcraft witches woman director
19,Ace Ventura: When Nature Calls (1995),Comedy,ace ventura: when nature calls (1995),comedy,africa awesome bat childhood classic childhood fav comedy crazy detective dumb goofy gross-out hehehe hilarious human animal relationship indigenous jim carrey not my kind of comedy one of the worst movies of all time over the top private detective rhino action :d sequel silly fun simon callow simple spit steve oedekerk stupid stupid as hell very funny,ace ventura: when nature calls (1995) comedy africa awesome bat childhood classic childhood fav comedy crazy detective dumb goofy gross-out hehehe hilarious human animal relationship indigenous jim carrey not my kind of comedy one of the worst movies of all time over the top private detective rhino action :d sequel silly fun simon callow simple spit steve oedekerk stupid stupid as hell very funny
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,money train (1995),action comedy crime drama thriller,clv joseph ruben lame new york city new york subway nudity (topless - brief) sibling relationship subway train robbery worthwhile,money train (1995) action comedy crime drama thriller clv joseph ruben lame new york city new york subway nudity (topless - brief) sibling relationship subway train robbery worthwhile
21,Get Shorty (1995),Comedy|Crime|Thriller,get shorty (1995),comedy crime thriller,airport author:elmore leonard barry sonnenfeld based on a book based on novel or book business clv con contrived crime danny devito debt drugs elmore leonard escobar foqam forgetable funny funny! gambling gangster gene hackman getting old but still excellent hilarious! hollywood job john travolta la mafia miami mobster money movie business murder no_fa_ganes plane crash producer satire satire:hollywood insiders silly stuntman travel travolta usa violence watch,get shorty (1995) comedy crime thriller airport author:elmore leonard barry sonnenfeld based on a book based on novel or book business clv con contrived crime danny devito debt drugs elmore leonard escobar foqam forgetable funny funny! gambling gangster gene hackman getting old but still excellent hilarious! hollywood job john travolta la mafia miami mobster money movie business murder no_fa_ganes plane crash producer satire satire:hollywood insiders silly stuntman travel travolta usa violence watch
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,copycat (1995),crime drama horror mystery thriller,agoraphobia claustrophobic cowardliness detective female protagonist holly hunter j.e. freeman mystery police brutality police operation police protection psychologist psychology serial killer sigourney weaver suspense suspenseful thriller trauma,copycat (1995) crime drama horror mystery thriller agoraphobia claustrophobic cowardliness detective female protagonist holly hunter j.e. freeman mystery police brutality police operation police protection psychologist psychology serial killer sigourney weaver suspense suspenseful thriller trauma
23,Assassins (1995),Action|Crime|Thriller,assassins (1995),action crime thriller,2.5 action antonio banderas assassination bank caribbean cat chess cia clv competition contract killer detroit divx1 double cross escape explosions festival hidden camera hitman julianne moore mexican standoff mission of murder plot twist police chase rescue richard donner rivalry seattle shootout silencer sniper rifle spain strong cast stunts sylvester stallone,assassins (1995) action crime thriller 2.5 action antonio banderas assassination bank caribbean cat chess cia clv competition contract killer detroit divx1 double cross escape explosions festival hidden camera hitman julianne moore mexican standoff mission of murder plot twist police chase rescue richard donner rivalry seattle shootout silencer sniper rifle spain strong cast stunts sylvester stallone
24,Powder (1995),Drama|Sci-Fi,powder (1995),drama sci-fi,albino can't remember christ allegory coming of age controversial dead animal earnest elegiac empathy extrasensory perception fainting fantasy flickering light healing power held at gunpoint inane jacobs ladder outcast teaches us all a cheesy lesson pale philosophy poignant post apocalyptic pretentious psionic power reflective shot to death special powers teacher student relationship tearjerking teenage boy victor salva,powder (1995) drama sci-fi albino can't remember christ allegory coming of age controversial dead animal earnest elegiac empathy extrasensory perception fainting fantasy flickering light healing power held at gunpoint inane jacobs ladder outcast teaches us all a cheesy lesson pale philosophy poignant post apocalyptic pretentious psionic power reflective shot to death special powers teacher student relationship tearjerking teenage boy victor salva
25,Leaving Las Vegas (1995),Drama|Romance,leaving las vegas (1995),drama romance,adapted from:book addiction alcohol alcohol abuse alcoholism annemari atmospheric author:john o'brien bad casting based on a book bibliothek casino dark depressing drama drinking dvd-video dying and death elegiac elisabeth shue elizabeth shue emily procter existential favorites great soundtrack haunting hotel room implausible individual intimate julian sands kim adams las vegas library loneliness los angeles love love at first sight love is not enough lovesickness mariska hargitay melancholic melancholy mike figgis movie business nicolas cage nihilism no_fa_ganes nudity (topless) oscar (best actor) overacting overrated poignant prostitute prostitutes prostitution rage and hate realistic characters sad screenwriter self destruction star-crossed lovers suicide understated unsociability valeria golino,leaving las vegas (1995) drama romance adapted from:book addiction alcohol alcohol abuse alcoholism annemari atmospheric author:john o'brien bad casting based on a book bibliothek casino dark depressing drama drinking dvd-video dying and death elegiac elisabeth shue elizabeth shue emily procter existential favorites great soundtrack haunting hotel room implausible individual intimate julian sands kim adams las vegas library loneliness los angeles love love at first sight love is not enough lovesickness mariska hargitay melancholic melancholy mike figgis movie business nicolas cage nihilism no_fa_ganes nudity (topless) oscar (best actor) overacting overrated poignant prostitute prostitutes prostitution rage and hate realistic characters sad screenwriter self destruction star-crossed lovers suicide understated unsociability valeria golino
26,Othello (1995),Drama,othello (1995),drama,adapted from:play based on a play clv ei muista friends jealousy moor nudity (topless) oliver parker playwright:shakespeare shakespeare shakespearean,othello (1995) drama adapted from:play based on a play clv ei muista friends jealousy moor nudity (topless) oliver parker playwright:shakespeare shakespeare shakespearean
27,Now and Then (1995),Children|Drama,now and then (1995),children drama,1970s bechdel test:pass brendan fraser christina ricci coming of age demi moore female friendship friendship gaby hoffman great soundtrack gynecologist janeane garofalo melanie griffith netflix photocopier prospect preferred retro rita wilson rosie o'donnell sisterhood songs soundtrack thora birch truth or dare woman director women,now and then (1995) children drama 1970s bechdel test:pass brendan fraser christina ricci coming of age demi moore female friendship friendship gaby hoffman great soundtrack gynecologist janeane garofalo melanie griffith netflix photocopier prospect preferred retro rita wilson rosie o'donnell sisterhood songs soundtrack thora birch truth or dare woman director women
28,Persuasion (1995),Drama|Romance,persuasion (1995),drama romance,18th century 19th century acting adapted from:book admiral amanda root amanda root is fabulous in this author:jane austen based on a book bd-r best adaptation bland boring captain ciarán hinds ciarã¡n hinds classic literature clv england etaege fiona shaw jane austen library vhs napoleonic wars old flame pam's list period piece reviewed roger michell screenwriter:nick dear setting:england slow,persuasion (1995) drama romance 18th century 19th century acting adapted from:book admiral amanda root amanda root is fabulous in this author:jane austen based on a book bd-r best adaptation bland boring captain ciarán hinds ciarã¡n hinds classic literature clv england etaege fiona shaw jane austen library vhs napoleonic wars old flame pam's list period piece reviewed roger michell screenwriter:nick dear setting:england slow
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"city of lost children, the (cité des enfants perdus, la) (1995)",adventure drama fantasy mystery sci-fi,"2.5 abused children aging atmospheric awkward romance beautiful bleak btaege characters childhood children circus clone clowny clones creepy creepy fantasy creepy tweens dark dark fairytale dark fantasy deer shit dominique pinon dream dreamlike dwarf dystopia eye fanciful freaks french friendship girl hallucinatory island jean-pierre jeunet jeunet kidnapping legenda pt-br marc caro memasa's movies need to own nudity (topless) orphans rescue ron perlman santa claus sci-fi setting skinut steampunk strange stylized surreal surreal, dark, nightmare visual visually appealing visually stunning weird weird fantasy weird soundtrack weird twins whimsical","city of lost children, the (cité des enfants perdus, la) (1995) adventure drama fantasy mystery sci-fi 2.5 abused children aging atmospheric awkward romance beautiful bleak btaege characters childhood children circus clone clowny clones creepy creepy fantasy creepy tweens dark dark fairytale dark fantasy deer shit dominique pinon dream dreamlike dwarf dystopia eye fanciful freaks french friendship girl hallucinatory island jean-pierre jeunet jeunet kidnapping legenda pt-br marc caro memasa's movies need to own nudity (topless) orphans rescue ron perlman santa claus sci-fi setting skinut steampunk strange stylized surreal surreal, dark, nightmare visual visually appealing visually stunning weird weird fantasy weird soundtrack weird twins whimsical"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,shanghai triad (yao a yao yao dao waipo qiao) (1995),crime drama,cabaret diva mistress servant shanghai umbrella uncle zhang yimou,shanghai triad (yao a yao yao dao waipo qiao) (1995) crime drama cabaret diva mistress servant shanghai umbrella uncle zhang yimou
31,Dangerous Minds (1995),Drama,dangerous minds (1995),drama,a list amusement park awesome based on a book bibliothek dead death douchebags drama education emilio! gangsters good soundtrack great soundtrack high school highschool inspirational john n. smith karate kinda scary michelle pfeiffer naval officer nigga own poetry professor protagonist is a teacher rap music school drama seen at the cinema social commentary stupid teacher teacher changing lives touching,dangerous minds (1995) drama a list amusement park awesome based on a book bibliothek dead death douchebags drama education emilio! gangsters good soundtrack great soundtrack high school highschool inspirational john n. smith karate kinda scary michelle pfeiffer naval officer nigga own poetry professor protagonist is a teacher rap music school drama seen at the cinema social commentary stupid teacher teacher changing lives touching
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,twelve monkeys (a.k.a. 12 monkeys) (1995),mystery sci-fi thriller,3 absurd adapted from/inspired by:short film adventure after you watch it you spend hours thinkig about it agonizing ambiguous annoying characters asylum atmospheric bad acting based on short film biological warfare biology brad pitt brilliant british bruce willis bruce willlis can be hard to follow cassandra syndrom chris marker christopher plummer classic clever complicated complicated plot cult film dark dark future david webb peoples depressing design deterministic different view disappointing divx1 drama dvd dvd-video dystopia dystopian dystopian future dystopic future elaborate end of the world ending epidemic excellent fran future futuristmovies.com genetics genius get gilliam good as hell great actors great ending hulu imagination imdb top 250 inmate interesting jeffrey joseph melito lethal virus madeleine stowe memasa's movies memory remains mental illness mental institution mindfuck mindfuck movie monkey monty-python-related music my favorite reviewers disliked this film: that's when i started to trust them less mystery nature of insanity not seen orange ponytail original overrated owned philadelphia plot point:bio-medical danger post apocalyptic post-apocalyptic practical effects psychology r rated-r reality or imagination? remake remake of a french film rewatch saturn award (best science fiction film) scenario schizophrenia sci fi sci-fi science fiction seen at the cinema setting:philadelphia social misfits special stockholm syndrome story strong director stupid subterranean terry gilliam thriller time loop time paradox time travel tumey's dvds twist ending violence weird good film,twelve monkeys (a.k.a. 12 monkeys) (1995) mystery sci-fi thriller 3 absurd adapted from/inspired by:short film adventure after you watch it you spend hours thinkig about it agonizing ambiguous annoying characters asylum atmospheric bad acting based on short film biological warfare biology brad pitt brilliant british bruce willis bruce willlis can be hard to follow cassandra syndrom chris marker christopher plummer classic clever complicated complicated plot cult film dark dark future david webb peoples depressing design deterministic different view disappointing divx1 drama dvd dvd-video dystopia dystopian dystopian future dystopic future elaborate end of the world ending epidemic excellent fran future futuristmovies.com genetics genius get gilliam good as hell great actors great ending hulu imagination imdb top 250 inmate interesting jeffrey joseph melito lethal virus madeleine stowe memasa's movies memory remains mental illness mental institution mindfuck mindfuck movie monkey monty-python-related music my favorite reviewers disliked this film: that's when i started to trust them less mystery nature of insanity not seen orange ponytail original overrated owned philadelphia plot point:bio-medical danger post apocalyptic post-apocalyptic practical effects psychology r rated-r reality or imagination? remake remake of a french film rewatch saturn award (best science fiction film) scenario schizophrenia sci fi sci-fi science fiction seen at the cinema setting:philadelphia social misfits special stockholm syndrome story strong director stupid subterranean terry gilliam thriller time loop time paradox time travel tumey's dvds twist ending violence weird good film
33,Wings of Courage (1995),Adventure|Romance|IMAX,wings of courage (1995),adventure romance imax,imax 3-d stereoscopic 3-d,wings of courage (1995) adventure romance imax imax 3-d stereoscopic 3-d
34,Babe (1995),Children|Drama,babe (1995),children drama,55 movies every kid should see--entertainment weekly adventure afi 100 (cheers) animal animal movie animal:pig animals animals - live action barnyard animals biography children chris noonan clv cute dvd collection easily confused with other movie(s) (title) environmental family fantasy farm farm tale farming favorite food funny heartwarming hugo weaving infantil meaty on dvr original oscar nominee: best picture oscar nominee: best picture 1995 overrated pig pigs rats sheep sweet talking animals that'll do pig villain nonexistent or not needed for good story way overrated wholesome witty,babe (1995) children drama 55 movies every kid should see--entertainment weekly adventure afi 100 (cheers) animal animal movie animal:pig animals animals - live action barnyard animals biography children chris noonan clv cute dvd collection easily confused with other movie(s) (title) environmental family fantasy farm farm tale farming favorite food funny heartwarming hugo weaving infantil meaty on dvr original oscar nominee: best picture oscar nominee: best picture 1995 overrated pig pigs rats sheep sweet talking animals that'll do pig villain nonexistent or not needed for good story way overrated wholesome witty
35,Carrington (1995),Drama|Romance,carrington (1995),drama romance,artist artists based on a book biopics bloomsbury group compare:bright star (2009) compare:carrington (1995) conscientious objector emma thompson england entirely dialogue independent film painter polyamory protagonist is painter (artist) protagonist is writer soldier strong woman world war i,carrington (1995) drama romance artist artists based on a book biopics bloomsbury group compare:bright star (2009) compare:carrington (1995) conscientious objector emma thompson england entirely dialogue independent film painter polyamory protagonist is painter (artist) protagonist is writer soldier strong woman world war i
36,Dead Man Walking (1995),Crime|Drama,dead man walking (1995),crime drama,2 annemari based on a book bible book buy can't remember capital punishment catholicism charity christianity clv couldn't finish court court case courtroom cowardliness crime deaf death death penalty death row death sentence despair doomed man drama electric chair emotion! ethics forgiveness institutions intense law lethal injection mercy petition moral dilemma movielens top pick nun oscar (best actress) pena de muerte penalty pompadour prison prison cell rage and hate rape rated-r redemption religion rewatch right and justice sad sean penn self-discovery sentence social commentary socially deprived family susan sarandon therapist tim robbins true story uk unsociability usa watch,dead man walking (1995) crime drama 2 annemari based on a book bible book buy can't remember capital punishment catholicism charity christianity clv couldn't finish court court case courtroom cowardliness crime deaf death death penalty death row death sentence despair doomed man drama electric chair emotion! ethics forgiveness institutions intense law lethal injection mercy petition moral dilemma movielens top pick nun oscar (best actress) pena de muerte penalty pompadour prison prison cell rage and hate rape rated-r redemption religion rewatch right and justice sad sean penn self-discovery sentence social commentary socially deprived family susan sarandon therapist tim robbins true story uk unsociability usa watch
37,Across the Sea of Time (1995),Documentary|IMAX,across the sea of time (1995),documentary imax,bd-r imax 3-d stereoscopic 3-d,across the sea of time (1995) documentary imax bd-r imax 3-d stereoscopic 3-d
38,It Takes Two (1995),Children|Comedy,it takes two (1995),children comedy,andy tennant cute fun heartwarming identical twin mary kate and ashley matchmaking nostalgic orphan relationship sabotage switching places twins twins/inter-related lives,it takes two (1995) children comedy andy tennant cute fun heartwarming identical twin mary kate and ashley matchmaking nostalgic orphan relationship sabotage switching places twins twins/inter-related lives
